model,anchor,initial_energy,days,shock_days,recovery_days,cash_cost,emergency_cost,emergency_kwh,baseline_cash_cost,baseline_emergency_cost,additional_cash_cost,peak_emergency_kw,min_energy,end_energy,end_inventory_gap_vs_nominal,recovery_emergency_cost,risk_budget_unmet_days,max_physical_residual,first_day_plan_identical,used_for_selection,shock
M3,2025-09-23,6000,1,1,0,162436.71173485898,121943.59282862104,21604.97539717111,44378.76599702474,3885.6470907868156,118057.94573783423,5300.983339285714,1203.4722222222224,1323.7638888888891,-929.8832739925037,0,0,9.094947017729282e-13,True,False,test_load_20
M3,2025-09-23,6000,1,1,0,180191.65006737027,139698.53116113233,27217.332899245663,44378.76599702474,3885.6470907868156,135812.88407034552,4293.333339285714,1203.4722222222224,2253.647162881393,0.0,0,0,9.094947017729282e-13,True,False,test_pv_50
M3,2025-09-23,6000,1,1,0,85510.06024381188,45016.94133757395,6872.482687454649,44378.76599702474,3885.6470907868156,41131.29424678714,5804.808339285714,1203.4722222222224,2253.647162881393,0.0,0,0,9.094947017729282e-13,True,False,test_peak_30
M3,2025-09-23,6000,1,1,0,235832.12478371884,195339.0058774809,38344.75315684758,44378.76599702474,3885.6470907868156,191453.3587866941,5314.244,1203.4722222222224,1323.7638888888891,-929.8832739925037,0,0,7.673861546209082e-13,True,False,test_joint_15_40
M3,2025-09-23,6000,5,3,2,605113.255200122,366392.65139144176,70872.4552871837,168210.233601779,6671.0561528952685,436903.021598343,5314.244,1203.4722222222224,5864.755625716713,4612.939622706529,0.0,0,8.988365607365267e-13,True,False,test_joint_15_40_3days
M3,2025-09-23,2160.0,5,3,2,479187.39161456644,265888.85318634775,49749.136457970126,169909.84959146305,6785.231695867475,309277.5420231034,4797.158339285715,1200.4305555555559,4414.755989131338,3162.710718196317,214.96405047447257,0,9.094947017729282e-13,True,False,test_low_inventory_3days
M3,2025-12-21,6000,1,1,0,162972.29614909732,100111.82419750767,17626.554227732315,62860.47195158964,0.0,100111.82419750768,3915.357008503403,1327.7777777777778,2044.7777778035331,-1407.6426083595427,0,0,9.094947017729282e-13,True,False,test_load_20
M3,2025-12-21,6000,1,1,0,133950.94421840657,71090.47226681694,13231.863369733563,62860.47195158964,0.0,71090.47226681693,3780.4885894557783,1338.4864400970016,3210.779137863756,-241.6412482993196,0,0,8.348877145181177e-13,True,False,test_pv_50
M3,2025-12-21,6000,1,1,0,97757.35858857373,34896.886636984076,5239.67408339116,62860.47195158964,0.0,34896.88663698408,4349.978047619046,1327.7777777777778,3200.0704755445327,-252.34991061854316,0,0,8.348877145181177e-13,True,False,test_peak_30
M3,2025-12-21,6000,1,1,0,196712.25156891567,133851.779617326,24966.119971353975,62860.47195158964,0.0,133851.77961732604,4380.06168255102,1327.7777777777778,2101.093676877867,-1351.3267092852088,0,0,9.094947017729282e-13,True,False,test_joint_15_40
M3,2025-12-21,6000,5,3,2,630129.8396984017,244585.85900010986,44948.46050812211,322875.2964425476,295.9990770111672,307254.54325585417,4380.06168255102,1327.7777777777778,6413.632379851468,2905.1284347040787,0.0,0,9.094947017729282e-13,True,False,test_joint_15_40_3days
M3,2025-12-21,2160.0,5,3,2,528331.1050087378,165739.63829461063,29124.768122581565,324304.35092363635,217.15933213606485,204026.7540851014,3496.514799455781,1331.6666666666665,4198.01460825328,1009.9201499331789,0.0,0,9.094947017729282e-13,True,False,test_low_inventory_3days
M2,2025-03-20,6000,1,1,0,153047.64420381712,113199.75850405081,20234.124008771196,39868.76810986558,20.88241009925734,113178.87609395155,4429.4043095238085,1253.2407407407413,1453.7268518518529,-695.8108893738997,0,0,6.821210263296962e-13,True,False,test_load_20
M2,2025-03-20,6000,1,1,0,167492.62670552294,127644.7410057566,24454.050888265876,39868.76810986558,20.88241009925734,127623.85859565737,3984.22020089286,1253.2407407407413,2149.5377412257526,0.0,0,0,9.094947017729282e-13,True,False,test_pv_50
M2,2025-03-20,6000,1,1,0,76858.31739180956,37010.43169204323,5576.082848770976,39868.76810986558,20.88241009925734,36989.549281943975,4870.657741011905,1253.2407407407413,2149.5377412257526,0.0,0,0,9.094947017729282e-13,True,False,test_peak_30
M2,2025-03-20,6000,1,1,0,222969.5773052135,183121.69160544715,35565.23190721544,39868.76810986558,20.88241009925734,183100.80919534792,4880.788296208554,1253.2407407407413,1453.7268518518529,-695.8108893738997,0,0,9.094947017729282e-13,True,False,test_joint_15_40
M2,2025-03-20,6000,5,3,2,495547.28627936036,314312.7279166855,61436.82522601964,149637.53565527557,1029.7165057495122,345909.75062408485,4880.788296208554,1199.9999999999989,3805.5527337604735,1409.965763438744,261.95802135321486,0,1.1368683772161603e-12,True,False,test_joint_15_40_3days
M2,2025-03-20,2160.0,5,3,2,385728.1572242916,216048.74723765807,40425.29273643051,151298.55723062088,1093.5007537046088,234429.59999367074,3953.4539210119055,1199.9999999999982,3282.2755010832366,971.3810862260416,529.8047440988569,0,1.8189894035458565e-12,True,False,test_low_inventory_3days
M2,2025-06-21,6000,1,1,0,40313.41213030732,19715.94059072672,4664.622282026638,20597.471539580598,0.0,19715.94059072672,2329.52108,1200.0,1253.4678898571426,-2919.1757454814233,0,0,8.526512829121202e-13,True,False,test_load_20
M2,2025-06-21,6000,1,1,0,99147.05273906855,78549.58119948795,14440.39202410742,20597.471539580598,0.0,78549.58119948795,3881.8244999999997,1200.0,2215.533108214285,-1957.110527124281,0,0,4.547473508864641e-13,True,False,test_pv_50
M2,2025-06-21,6000,1,1,0,33914.759300144535,13317.287760563937,2289.3287370294756,20597.471539580598,0.0,13317.287760563937,5046.37185,1200.0,2215.533108214285,-1957.110527124281,0,0,7.673861546209082e-13,True,False,test_peak_30
M2,2025-06-21,6000,1,1,0,124079.93074012488,103482.45920054428,19476.09834190107,20597.471539580598,0.0,103482.45920054428,4464.098175,1200.0,1390.9058956785718,-2781.737739659994,0,0,4.547473508864641e-13,True,False,test_joint_15_40
M2,2025-06-21,6000,5,3,2,568129.4897497934,272795.1907421794,50363.8225222178,242588.87609594365,9175.428286341099,325540.61365384975,4464.098175,1200.0,8827.794237204116,1610.0892844480868,0.0,0,9.094947017729282e-13,True,False,test_joint_15_40_3days
M2,2025-06-21,2160.0,5,3,2,444046.6865623377,170524.52259164554,29488.4667091094,244349.24225522898,9175.428286341103,199697.44430710867,4270.00695,1200.0,8106.321854636782,620.692220036759,0.0,0,9.094947017729282e-13,True,False,test_low_inventory_3days
M2,2025-09-23,6000,1,1,0,166979.3754232488,127414.21901701088,22827.36289717111,45581.6099955204,6016.453589282469,121397.7654277284,5300.983339285713,1201.1250000000002,1321.416666666667,-929.8832739925042,0,0,9.094947017729282e-13,True,False,test_load_20
M2,2025-09-23,6000,1,1,0,185381.89155248195,145816.73514624403,28427.33723800927,45581.6099955204,6016.453589282469,139800.28155696153,4614.56,1201.1250000000002,2251.299940659171,0.0,0,0,8.988365607365267e-13,True,False,test_pv_50
M2,2025-09-23,6000,1,1,0,86754.53405679087,47189.37765055295,7190.574650013322,45581.6099955204,6016.453589282469,41172.924061270474,5804.8083392857125,1201.1250000000002,2251.299940659171,0.0,0,0,9.094947017729282e-13,True,False,test_peak_30
M2,2025-09-23,6000,1,1,0,240345.72874133394,200780.57233509602,39573.473990180915,45581.6099955204,6016.453589282469,194764.11874581355,5314.244,1201.1250000000002,1321.416666666667,-929.8832739925042,0,0,8.810729923425242e-13,True,False,test_joint_15_40
M2,2025-09-23,6000,5,3,2,612642.3795600126,388375.1384179141,75356.5540957579,169749.13543210243,10903.43167593188,442893.2441279102,5314.244,1201.1250000000002,5811.753087107915,4544.755948101297,0.0,0,9.094947017729282e-13,True,False,test_joint_15_40_3days
M2,2025-09-23,2160.0,5,3,2,516845.5419172195,324374.2694375477,61910.75094529328,171202.57466915227,10578.984084983318,345642.9672480672,4797.158339285713,1200.0,3259.9155759243276,1994.2529415163008,86.16336255999784,0,9.094947017729282e-13,True,False,test_low_inventory_3days
M2,2025-12-21,6000,1,1,0,169579.3764681416,107982.33534988528,19439.293519274892,61597.04111825631,0.0,107982.33534988528,4099.844021938777,1320.3703703703702,1635.1481481739065,-793.1981639150968,0,0,8.597567102697212e-13,True,False,test_load_20
M2,2025-12-21,6000,1,1,0,135765.56749218426,74168.52637392795,13927.946758924601,61597.04111825631,0.0,74168.52637392795,3489.8968317006857,1328.3012549118162,2195.038397123017,-233.30791496598613,0,0,8.881784197001252e-13,True,False,test_pv_50
M2,2025-12-21,6000,1,1,0,95898.73442190705,34301.69330365075,5153.840750057827,61597.04111825631,0.0,34301.69330365074,4349.9780476190435,1320.3703703703702,2187.107512581571,-241.2387995074323,0,0,9.094947017729282e-13,True,False,test_peak_30
M2,2025-12-21,6000,1,1,0,202319.45154841963,140722.41043016332,26650.01658320107,61597.04111825631,0.0,140722.41043016332,4728.8565085034,1320.3703703703702,1635.1481481739065,-793.1981639150968,0,0,8.810729923425242e-13,True,False,test_joint_15_40
M2,2025-12-21,6000,5,3,2,634895.0999839462,259164.13138852574,48413.904321462796,318710.6274849678,293.6470126284861,316184.4724989784,4728.8565085034,1320.3703703703702,5206.508383327599,2348.5844552830663,0.0,0,9.094947017729282e-13,True,False,test_joint_15_40_3days
M2,2025-12-21,2160.0,5,3,2,531916.1665127,176388.41908553801,31137.20997948368,320376.5632837289,293.6470126284861,211539.60322897104,3765.8671887755086,1300.0000000074303,3473.7236179167608,547.9849724978908,0.0,0,9.094947017729282e-13,True,False,test_low_inventory_3days
