date,E0,Eend,min_energy,G,H,peak_emergency_kw,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,max_residual,model,alpha,plan_feasible,objective,constraint_violation,risk_budget,risk_cvar,stress_budget,design_stress_cost,forecast_train_end,scene_end,effective_scenarios,var_exceeded,development_stress_worst_cost,locked_plan_sha256,array_sha256,predicted_beta,predicted_mean_emergency_cost,predicted_emergency_var,predicted_emergency_cvar,predicted_robust_emergency_cvar,predicted_cash_var,predicted_cash_cvar,predicted_emergency_probability,predicted_mean_end_energy,predicted_low_end_energy,predicted_minimum_energy,predicted_worst_emergency_kwh,predicted_effective_n,optimizer_evaluations
2025-07-23,9977.554885781366,8897.996005780422,6783.745402021919,80753.20153035714,0.0,0.0,58727.45195443959,0.0,58727.45195443959,0,0,3886.261683594382,2142.058766666667,65233.48653333333,1587.8928434303702,8.810729923425242e-13,M3-R,0.0,True,59844.56832138329,0.0,30853.689980255775,29182.943970929562,,,2025-07-22,2025-07-22,57.712603444513455,False,98191.70893593588,d9ca020767fad18ec8f61172accf73fa1e779ebba6c290fb2e6ba35075d8e9e9,844673bd6a6c3f7afc9e834b24a66d2659ba2611e98c24975f024a4d16a4663d,0.9,1215.4625883497893,0.0,12154.625883497894,29182.943970929562,58727.45195443959,70882.07783793748,0.09655516836467277,6310.605184086576,1839.7991362890489,1200.0,5966.403141113093,57.712603444513455,3000
2025-07-24,8897.996005780422,9910.026023502136,7405.438741055683,82382.37965073696,0.0,0.0,59703.080135714146,0.0,59703.080135714146,0,0,4021.3995277805816,2031.3921011729776,65285.74551666666,1701.086004061686,9.094947017729282e-13,M3-R,0.0,True,60619.63873157284,0.0,31110.394654454765,28837.2597167543,,,2025-07-23,2025-07-23,57.60332653525373,False,94311.63002294005,db2f31e3938e0cbe6f14621aa0350994fa077bf889daa30ba3a8b8a9e8381850,874e2bb0ecae68f2e095bd7e236b842a44edeb5061a538d47f6255659be8e596,0.9,1216.0426749443695,0.0,12160.426749443697,28837.2597167543,59703.080135714146,71863.50688515784,0.0825300584794241,6715.377488035473,1908.9239046016035,1200.0,5799.659325173756,57.60332653525373,3000
2025-07-25,9910.026023502136,6000.266110951749,4169.712257023177,41814.98131207483,0.0,0.0,27832.81443769904,0.0,27832.81443769904,0,0,1867.517000651928,15216.867057591457,65849.52011666667,2135.037599715155,8.668621376273222e-13,M3-R,0.0,True,27881.317163839693,0.0,18418.09500587047,10179.003559448369,,,2025-07-24,2025-07-24,57.463419858416685,False,47758.482640881644,731f2515a0b98f9b6b012ebf1a22e20e18893306cff0127774d3d488c93e3961,8c27bc0d2fe3cef68990ae33276e874bad20465feaa219d30d36157895cecef0,0.9,560.9835659549772,1387.67900105054,5246.438850492658,10179.003559448369,29220.493438749578,33079.2532881917,0.16583451384985287,4178.800289975456,1354.1078316269848,1200.0,1947.7686713718804,57.463419858416685,3000
2025-07-26,6000.266110951749,6573.232158963843,4878.850592754784,45338.787257709744,0.0,0.0,29892.47970978981,0.0,29892.47970978981,0,0,1345.6762701530615,13126.231219727539,64718.598366666665,1824.8221531503884,8.597567102697212e-13,M3-R,0.0,True,29705.56613558945,0.0,18430.5442247585,8867.4920245703,,,2025-07-25,2025-07-25,57.555732418592335,False,54568.37339325526,e5300afa02c7a3c31bac299c813c9001e28eea2f2990eea44995f7496445dad7,06186668276dbd8c10d04bd5cd4acc36ad3fd4ce1552eb09b230c96b4f6c7dc2,0.9,532.2074618688384,1639.2812508020988,4729.384332429281,8867.4920245703,31531.76096059191,34621.864042219095,0.1571270846843566,4560.67302641348,1451.8056324754396,1200.0,1957.981936848074,57.555732418592335,3000
2025-07-27,6573.232158963843,9595.99676227072,5884.952134542705,83200.79002950678,0.0,0.0,60180.30820768123,0.0,60180.30820768123,0,0,2664.196308279791,1751.7583217141175,64425.00648333333,2076.8809962060136,9.094947017729282e-13,M3-R,0.0,True,61196.37437404221,0.0,30467.321117367494,30038.84334954933,,,2025-07-26,2025-07-26,57.48953802830914,False,98283.35892528469,466d203f4c9fc64605943c3fd9ffbed9c080151b4c546e21c3e3925b4e2a00ca,e07fa14f1fab0e460abcced438c0037c1e20848fee40056ba640fa182b5ae6ba,0.9,1353.1570610642316,0.0,13531.570610642319,30038.84334954933,60180.30820768123,73711.87881832354,0.09441304338746358,6837.051320974212,1769.5589381405937,1200.0,6055.047908791946,57.48953802830914,3000
2025-07-28,9595.99676227072,8026.822790803107,6387.732252739983,79969.47944512471,0.0,0.0,58931.24165414957,0.0,58931.24165414957,0,0,2150.4977664560056,0.0,60274.121199999994,1433.2784168030014,9.094947017729282e-13,M3-R,0.0,True,59982.04581923266,0.0,30709.068927653323,30392.924604419284,,,2025-07-27,2025-07-27,56.85920116896458,False,105940.51055118018,95fd1ad87ac08eadb92a76e09d34512bc787dee081a78529fd62b09cc9458629,2d2cd745ed4ad6a5dc688b613b3e8c7f9dc9b524791de9c6f27a1599014ce2e0,0.9,1349.180405297751,0.0,13491.804052977512,30392.924604419284,58931.24165414957,72423.04570712708,0.08838321401105335,6894.542197180809,1634.3412048611112,1200.0,6542.873789674886,56.85920116896458,3000
2025-07-29,8026.822790803107,10171.605045385173,5157.824986016629,82784.78373497732,0.0,0.0,60411.85363536373,0.0,60411.85363536373,0,0,2640.1313305191643,0.0,62245.49916666666,1930.6241998760888,9.094947017729282e-13,M3-R,0.0,True,60912.82584490015,0.0,30778.060748275264,27150.394744364254,,,2025-07-28,2025-07-28,58.688177707150565,False,99509.29882308257,5aa9c391f851b78d297d32b13fd877356cdf5cd08cdb0b841f72a7483ca542b0,e1086053afbc10503179f4c76186ee09ff42c0382fc029becccb68616e60ee36,0.9,1164.771667196177,0.0,11647.716671961773,27150.394744364254,60411.85363536373,72059.5703073255,0.09862398665634742,7395.2217980213845,1896.01670050392,1200.0,5923.58697141751,58.688177707150565,3000
2025-07-30,10171.605045385173,9183.523817023497,6342.254937358284,80910.76626298187,0.0,0.0,59167.01120798344,0.0,59167.01120798344,0,0,4327.9540829596135,1880.9367999999993,64321.11038333333,1586.7025583839327,8.846257060213247e-13,M3-R,0.0,True,60170.726372484925,0.0,30775.21162919666,28780.91701603591,,,2025-07-29,2025-07-29,58.50655174361731,False,94950.99354294753,a30f8d90ac1db6ff748028f27086744b90c02223a5e63f199e827a33e331e17d,6c290c25cf6ef4af50b507d798391ebd8a38ae3f506572233dade4ce6d51520b,0.9,1181.2690732960705,0.0,11812.690732960706,28780.91701603591,59167.01120798344,70979.70194094416,0.09760380842214991,6515.019376560236,1871.6874348570207,1200.0,5986.840751600055,58.50655174361731,3000
2025-07-31,9183.523817023497,9980.28994327255,5860.229519368862,81569.12524104308,0.0,0.0,59586.9128803628,0.0,59586.9128803628,0,0,3370.9726588214926,843.044483333333,62728.31745,1863.3457059725372,8.526512829121202e-13,M3-R,0.0,True,60214.493325311,0.0,30667.51871707158,27992.167499571646,,,2025-07-30,2025-07-30,58.1641847756396,False,96547.49000347657,9ce78cd2e0865696b5ecf0739e8cf7c9faaae2847a25e913a4cda88db837e1da,76429e131f541b68f7c9ee5f6e366ce32e04bfcde0c2a3bcebb1d53a32c8c817,0.9,1221.9597879453224,0.0,12219.597879453228,27992.167499571646,59586.9128803628,71806.51075981602,0.09711687671326952,7325.050181823635,1858.4694238129948,1200.0,5937.377441986676,58.1641847756396,3000
2025-08-01,9980.28994327255,6159.349735278096,4501.614547577478,40404.31626349206,0.0,0.0,27049.75978646292,0.0,27049.75978646292,0,0,1266.3660638605447,19721.931758059334,71468.06443333333,1985.5989828999755,9.094947017729282e-13,M3-R,0.0,True,27016.67000188692,0.0,18034.86929269127,9960.953586927524,,,2025-07-31,2025-07-31,58.431403172051766,False,37023.91785249403,e7e0bbbf3a41fa6a8fe7ef6f8bec7685805af67cae15c4ad40f11042ed4cb0ca,28e6f001ef629d30f7764cb92db29d0a78f41c259da00f4174a67676fdfd7f33,0.9,560.0408979087335,1704.8899960436702,5201.81981600802,9960.953586927524,28754.64978250659,32251.57960247094,0.17138924033689223,4361.089855248285,1421.144868664024,1200.0,2102.406205442179,58.431403172051766,3000
